pref,city,2023-02-18
北海道,北海道,1919
北海道,札幌市中央区,61
北海道,札幌市北区,41
北海道,札幌市東区,49
北海道,札幌市白石区,33
北海道,札幌市豊平区,32
北海道,札幌市南区,31
北海道,札幌市西区,38
北海道,札幌市厚別区,23
北海道,札幌市手稲区,24
北海道,札幌市清田区,23
北海道,函館市,83
北海道,小樽市,35
北海道,旭川市,73
北海道,室蘭市,37
北海道,釧路市,40
北海道,帯広市,41
北海道,北見市,34
北海道,夕張市,6
北海道,岩見沢市,26
北海道,網走市,16
北海道,留萌市,12
北海道,苫小牧市,64
北海道,稚内市,19
北海道,美唄市,12
北海道,芦別市,6
北海道,江別市,32
北海道,赤平市,5
北海道,紋別市,18
北海道,士別市,15
北海道,名寄市,8
北海道,三笠市,8
北海道,根室市,13
北海道,千歳市,38
北海道,滝川市,11
北海道,砂川市,8
北海道,歌志内市,4
北海道,深川市,6
北海道,富良野市,10
北海道,登別市,26
北海道,恵庭市,23
北海道,伊達市,12
北海道,北広島市,30
北海道,石狩市,24
北海道,北斗市,22
北海道,石狩郡当別町,12
北海道,石狩郡新篠津村,1
北海道,松前郡松前町,12
北海道,松前郡福島町,3
北海道,上磯郡知内町,1
北海道,上磯郡木古内町,7
北海道,亀田郡七飯町,9
北海道,茅部郡鹿部町,5
北海道,茅部郡森町,17
北海道,二海郡八雲町,14
北海道,山越郡長万部町,4
北海道,檜山郡江差町,7
北海道,檜山郡上ノ国町,4
北海道,檜山郡厚沢部町,1
北海道,爾志郡乙部町,3
北海道,奥尻郡奥尻町,2
北海道,瀬棚郡今金町,2
北海道,久遠郡せたな町,5
北海道,島牧郡島牧村,1
北海道,寿都郡寿都町,1
北海道,寿都郡黒松内町,3
北海道,磯谷郡蘭越町,4
北海道,虻田郡真狩村,1
北海道,虻田郡留寿都村,2
北海道,虻田郡喜茂別町,3
北海道,虻田郡倶知安町,4
北海道,岩内郡共和町,6
北海道,岩内郡岩内町,5
北海道,古宇郡泊村,3
北海道,古宇郡神恵内村,1
北海道,積丹郡積丹町,3
北海道,古平郡古平町,2
北海道,余市郡仁木町,2
北海道,余市郡余市町,9
北海道,余市郡赤井川村,3
北海道,空知郡南幌町,4
北海道,空知郡奈井江町,4
北海道,空知郡上砂川町,2
北海道,夕張郡由仁町,3
北海道,夕張郡長沼町,3
北海道,夕張郡栗山町,4
北海道,樺戸郡月形町,3
北海道,樺戸郡浦臼町,1
北海道,樺戸郡新十津川町,4
北海道,雨竜郡妹背牛町,1
北海道,雨竜郡秩父別町,1
北海道,雨竜郡雨竜町,1
北海道,雨竜郡北竜町,3
北海道,雨竜郡沼田町,3
北海道,上川郡鷹栖町,3
北海道,上川郡東神楽町,4
北海道,上川郡当麻町,2
北海道,上川郡比布町,3
北海道,上川郡愛別町,5
北海道,上川郡上川町,4
北海道,上川郡東川町,3
北海道,上川郡美瑛町,6
北海道,空知郡上富良野町,5
北海道,空知郡中富良野町,1
北海道,空知郡南富良野町,3
北海道,勇払郡占冠村,2
北海道,上川郡和寒町,3
北海道,上川郡剣淵町,3
北海道,上川郡下川町,2
北海道,中川郡美深町,5
北海道,中川郡音威子府村,1
北海道,中川郡中川町,1
北海道,雨竜郡幌加内町,6
北海道,増毛郡増毛町,2
北海道,留萌郡小平町,3
北海道,苫前郡苫前町,3
北海道,苫前郡羽幌町,4
北海道,苫前郡初山別村,2
北海道,天塩郡遠別町,6
北海道,天塩郡天塩町,5
北海道,宗谷郡猿払村,2
北海道,枝幸郡浜頓別町,3
北海道,枝幸郡中頓別町,4
北海道,枝幸郡枝幸町,21
北海道,天塩郡豊富町,6
北海道,礼文郡礼文町,2
北海道,利尻郡利尻町,1
北海道,利尻郡利尻富士町,3
北海道,天塩郡幌延町,6
北海道,網走郡美幌町,7
北海道,網走郡津別町,8
北海道,斜里郡斜里町,7
北海道,斜里郡清里町,4
北海道,斜里郡小清水町,2
北海道,常呂郡訓子府町,2
北海道,常呂郡置戸町,1
北海道,常呂郡佐呂間町,4
北海道,紋別郡遠軽町,14
北海道,紋別郡湧別町,12
北海道,紋別郡滝上町,3
北海道,紋別郡興部町,10
北海道,紋別郡西興部村,1
北海道,紋別郡雄武町,12
北海道,網走郡大空町,6
北海道,虻田郡豊浦町,3
北海道,有珠郡壮瞥町,3
北海道,白老郡白老町,21
北海道,勇払郡厚真町,2
北海道,虻田郡洞爺湖町,8
北海道,勇払郡安平町,7
北海道,勇払郡むかわ町,3
北海道,沙流郡日高町,15
北海道,沙流郡平取町,8
北海道,新冠郡新冠町,8
北海道,浦河郡浦河町,10
北海道,様似郡様似町,9
北海道,幌泉郡えりも町,4
北海道,日高郡新ひだか町,7
北海道,河東郡音更町,12
北海道,河東郡士幌町,2
北海道,河東郡上士幌町,5
北海道,河東郡鹿追町,3
北海道,上川郡新得町,5
北海道,上川郡清水町,5
北海道,河西郡芽室町,8
北海道,河西郡中札内村,2
北海道,河西郡更別村,2
北海道,広尾郡大樹町,5
北海道,広尾郡広尾町,11
北海道,中川郡幕別町,7
北海道,中川郡池田町,11
北海道,中川郡豊頃町,3
北海道,中川郡本別町,17
北海道,足寄郡足寄町,12
北海道,足寄郡陸別町,6
北海道,十勝郡浦幌町,14
北海道,釧路郡釧路町,13
北海道,厚岸郡厚岸町,10
北海道,厚岸郡浜中町,3
北海道,川上郡標茶町,6
北海道,川上郡弟子屈町,4
北海道,阿寒郡鶴居村,5
北海道,白糠郡白糠町,5
北海道,野付郡別海町,10
北海道,標津郡中標津町,14
北海道,標津郡標津町,4
北海道,目梨郡羅臼町,8
